05-29-23_18-09-51-871 - Logging Started
18-10-14-624 - [Warning] 14.2422 milisecond delay detected in CheckHits: 1: 
18-10-14-661 - [Warning] 12.2702 milisecond delay detected in DeferedVoxelCheck: 1 - beamCount:0 : 
18-10-47-876 - (CPU-T) --- <Steps>60 <S-Sim>1.01 <C-Sim>1.01 <AI>0.1143/0.0912/0.3039 <Acq>0.0014/0.0010/0.6564 <SH>0.0084/0.0059/0.1257 <CH>0.0002/0.0001/0.0005 <PS>0.0113/0.0077/0.0258 <PI>0.0627/0.0373/0.1301 <PD>0.0053/0.0003/0.0136 <PA>0.0001/0.0001/0.0003 <DR>0.0000/0.0000/0.0000 <AV>0.0001/0.0001/0.0002 <NET1>0.0003/0.0001/0.0184> <DB>0.1777/0.1728/0.1826>
18-10-50-881 - (CPU-T) --- <Steps>60 <S-Sim>1.01 <C-Sim>1.01 <AI>0.1190/0.0933/0.2503 <Acq>0.0013/0.0009/0.6989 <SH>0.0081/0.0058/0.0164 <CH>0.0002/0.0001/0.0005 <PS>0.0111/0.0081/0.0296 <PI>0.0592/0.0366/0.1294 <PD>0.0053/0.0002/0.0095 <PA>0.0001/0.0001/0.0003 <DR>0.0000/0.0000/0.0000 <AV>0.0001/0.0001/0.0002 <NET1>0.0003/0.0001/0.0006> <DB>0.1682/0.1408/0.1955>
18-10-53-876 - (CPU-T) --- <Steps>60 <S-Sim>1.01 <C-Sim>1.01 <AI>0.1220/0.0938/4.2088 <Acq>0.0014/0.0008/0.8335 <SH>0.0080/0.0057/0.0274 <CH>0.0002/0.0001/0.0005 <PS>0.0116/0.0084/0.0188 <PI>0.0696/0.0408/0.1599 <PD>0.0824/0.0003/0.9934 <PA>0.0001/0.0001/0.0013 <DR>0.0000/0.0000/0.0000 <AV>0.0001/0.0001/0.0002 <NET1>0.0003/0.0001/0.0186> <DB>0.2521/0.2521/0.2521>
18-10-56-876 - (CPU-T) --- <Steps>60 <S-Sim>1.01 <C-Sim>1.01 <AI>0.1186/0.0881/0.2961 <Acq>0.0014/0.0008/0.5540 <SH>0.0079/0.0056/0.0217 <CH>0.0002/0.0001/0.0005 <PS>0.0146/0.0086/0.0305 <PI>0.1095/0.0666/0.3375 <PD>0.0921/0.0003/8.2690 <PA>0.0002/0.0001/0.0004 <DR>0.0000/0.0000/0.0000 <AV>0.0001/0.0001/0.0002 <NET1>0.0003/0.0001/0.0194> <DB>0.1712/0.0224/0.2427>
18-10-59-879 - (CPU-T) --- <Steps>60 <S-Sim>1.01 <C-Sim>1.01 <AI>0.1142/0.0918/0.3688 <Acq>0.0014/0.0009/0.4865 <SH>0.0082/0.0059/0.0271 <CH>0.0002/0.0001/0.0005 <PS>0.0188/0.0132/0.0478 <PI>0.1442/0.0897/0.4327 <PD>0.0006/0.0003/1.6264 <PA>0.0001/0.0001/0.0004 <DR>0.0000/0.0000/0.0000 <AV>0.0001/0.0001/0.0006 <NET1>0.0003/0.0001/0.0006> <DB>0.0924/0.0180/0.2484>
18-11-02-877 - (CPU-T) --- <Steps>60 <S-Sim>1.01 <C-Sim>1.01 <AI>0.1086/0.0862/0.4596 <Acq>0.0015/0.0009/0.5708 <SH>0.0002/0.0001/0.0154 <CH>0.0002/0.0001/0.0006 <PS>0.0091/0.0031/0.0354 <PI>0.0366/0.0004/0.3476 <PD>0.0006/0.0002/1.1833 <PA>0.0001/0.0001/0.0005 <DR>0.0000/0.0000/0.0000 <AV>0.0001/0.0001/0.0002 <NET1>0.0003/0.0001/0.0282> <DB>0.1907/0.0269/0.2123>
18-11-05-876 - (CPU-T) --- <Steps>60 <S-Sim>1.01 <C-Sim>1.01 <AI>0.1074/0.0843/3.0332 <Acq>0.0016/0.0010/0.5399 <SH>0.0002/0.0001/0.0004 <CH>0.0002/0.0001/0.0005 <PS>0.0045/0.0031/0.0110 <PI>0.0006/0.0004/0.0015 <PD>0.0005/0.0002/0.0081 <PA>0.0001/0.0001/0.0004 <DR>0.0000/0.0000/0.0000 <AV>0.0001/0.0001/0.0002 <NET1>0.0003/0.0002/0.0007> <DB>0.0949/0.0227/0.2844>
18-11-08-877 - (CPU-T) --- <Steps>60 <S-Sim>1.01 <C-Sim>1.01 <AI>0.1081/0.0838/0.2809 <Acq>0.0016/0.0011/0.5173 <SH>0.0002/0.0001/0.0003 <CH>0.0003/0.0001/0.0005 <PS>0.0046/0.0029/0.0119 <PI>0.0006/0.0004/0.0014 <PD>0.0005/0.0003/0.0011 <PA>0.0001/0.0001/0.0103 <DR>0.0000/0.0000/0.0000 <AV>0.0001/0.0001/0.0002 <NET1>0.0003/0.0002/0.0007> <DB>0.1945/0.1945/0.1945>
18-11-11-890 - (CPU-T) --- <Steps>60 <S-Sim>1.01 <C-Sim>1.01 <AI>0.1065/0.0837/0.6419 <Acq>0.0016/0.0010/0.5930 <SH>0.0002/0.0001/0.0003 <CH>0.0002/0.0001/0.0008 <PS>0.0048/0.0033/0.0162 <PI>0.0006/0.0004/0.0021 <PD>0.0005/0.0002/0.0020 <PA>0.0001/0.0001/0.0004 <DR>0.0000/0.0000/0.0000 <AV>0.0001/0.0001/0.0002 <NET1>0.0003/0.0001/0.0007> <DB>0.1895/0.1852/0.1938>
18-11-14-876 - (CPU-T) --- <Steps>60 <S-Sim>1.01 <C-Sim>1.01 <AI>0.1059/0.0819/0.4406 <Acq>0.0016/0.0011/5.1017 <SH>0.0002/0.0001/0.0083 <CH>0.0003/0.0001/0.0005 <PS>0.0047/0.0031/0.0761 <PI>0.0006/0.0004/0.0022 <PD>0.0005/0.0003/0.0013 <PA>0.0001/0.0001/0.0005 <DR>0.0000/0.0000/0.0000 <AV>0.0001/0.0001/0.0002 <NET1>0.0003/0.0002/0.0007> <DB>0.2427/0.2416/0.2437>
